Timestamp,Soil_Moisture_%,Ambient_Temp_C,Sunlight_%,Irrigation_Status,Solar_Action,Alert_Status
2026-09-18 21:58:27,32.1,40.4,82.4,PUMP_OFF,ANGLE_45_DEG,CRITICAL_HEAT_WAVE
2026-09-18 21:58:32,21.5,40.3,65.0,PUMP_ON,FLAT_FOR_CROPS,CRITICAL_HEAT_WAVE
2026-09-18 21:58:37,44.5,35.2,95.5,PUMP_OFF,ANGLE_45_DEG,NORMAL
2026-09-18 21:58:42,39.3,35.0,78.0,PUMP_OFF,ANGLE_45_DEG,NORMAL
2026-09-18 21:58:47,32.2,41.5,89.5,PUMP_OFF,ANGLE_45_DEG,CRITICAL_HEAT_WAVE
2026-09-18 21:58:52,41.3,39.2,62.4,PUMP_OFF,FLAT_FOR_CROPS,CRITICAL_HEAT_WAVE
2026-09-18 21:58:57,17.4,35.4,63.2,PUMP_ON,FLAT_FOR_CROPS,CRITICAL_DROUGHT_RISK
2026-09-18 21:59:02,18.4,41.6,73.6,PUMP_ON,FLAT_FOR_CROPS,CRITICAL_HEAT_WAVE
2026-09-18 22:04:21,33.5,32.0,64.4,PUMP_OFF,FLAT_FOR_CROPS,NORMAL
2026-09-18 22:04:26,41.7,39.1,86.0,PUMP_OFF,ANGLE_45_DEG,CRITICAL_HEAT_WAVE
